Entity,Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate)
Iran,741.8889999999999,202.371,18.073333333333334,6.772333333333336,8.307666666666666
Iraq,639.001,231.77899999999997,22.94366666666666,8.352666666666666,6.099999999999997
Ireland,1506.5106666666668,364.489,25.397333333333336,2.987,3.231
Israel,1368.5936666666666,317.89966666666663,24.442,3.5473333333333343,3.7643333333333335
Italy,1394.2766666666664,370.59666666666664,29.853666666666662,4.063000000000001,4.571999999999999
Jamaica,1124.9206666666666,319.0716666666668,27.831999999999994,4.673666666666666,5.099666666666666
Japan,1279.4099999999996,315.03133333333335,25.062999999999995,2.7836666666666665,3.4660000000000006
Jordan,724.272,218.94166666666663,17.577666666666666,5.227,3.5519999999999996
Kazakhstan,985.9313333333332,470.739,39.568999999999996,6.627333333333332,7.671666666666666
Kenya,680.3513333333335,235.6823333333333,16.83066666666667,2.3373333333333335,6.490666666666668
Kiribati,1075.374333333333,456.8026666666666,68.06466666666665,4.681333333333332,8.171666666666665
Kuwait,656.0169999999998,144.2866666666667,11.290333333333333,4.236000000000001,4.484
Kyrgyzstan,649.806,316.0023333333332,26.71266666666667,4.449999999999999,4.008999999999999
Laos,799.0610000000001,317.0973333333334,29.442666666666675,8.270666666666665,10.476
Latin America & Caribbean (WB),1028.176,289.2083333333333,26.703999999999997,6.167333333333333,8.454666666666666
Latvia,1121.0706666666667,477.88733333333323,42.30433333333334,5.418000000000002,7.467333333333333
Lebanon,1154.4783333333335,317.5716666666667,27.520333333333333,5.253666666666667,4.274
Lesotho,1062.1246666666668,425.9006666666666,26.112333333333332,3.0119999999999996,2.1706666666666665
Liberia,807.5269999999999,229.76699999999994,17.191333333333333,3.5090000000000003,7.955666666666667
Libya,781.9456666666666,259.428,22.049333333333333,4.486,5.789000000000001
Lithuania,1110.194,475.50399999999996,42.446666666666665,4.827333333333333,6.524
Luxembourg,1473.68,381.2926666666666,31.983333333333338,3.7976666666666663,3.7956666666666665
Madagascar,666.0686666666666,247.0636666666667,23.398666666666667,3.757333333333334,13.768333333333334
Malawi,834.618,322.793,27.677333333333326,6.883666666666665,44.28200000000001
Malaysia,972.5963333333333,271.47766666666666,24.31366666666667,4.4350000000000005,3.2880000000000007
Maldives,702.5003333333335,182.02133333333342,13.807666666666668,3.712666666666666,7.494666666666666
Mali,748.7916666666666,276.034,20.311666666666664,2.718666666666666,8.796666666666669
Malta,1149.6143333333332,300.0536666666666,24.216666666666676,3.6173333333333337,4.015666666666667
Marshall Islands,1074.3530000000003,367.7086666666667,43.26866666666667,4.330666666666667,5.103
Mauritania,847.3650000000001,246.105,16.673,3.522666666666667,5.079666666666666
Mauritius,701.9763333333334,218.078,23.104666666666667,4.284999999999999,5.496
Mexico,798.1033333333332,210.67533333333338,21.816666666666663,6.416333333333335,8.236666666666666
Micronesia (country),1111.539,382.59,44.02899999999998,4.026,4.507000000000001
Middle East & North Africa (WB),690.9203333333334,213.98100000000002,18.780666666666665,5.405,5.728000000000001
Moldova,645.3969999999998,398.2056666666667,42.03900000000001,7.403333333333334,9.135999999999997
Monaco,2182.1616666666664,552.055,57.796333333333344,4.479,6.101333333333335
Mongolia,2134.0833333333335,784.1023333333331,46.59366666666667,4.904333333333335,4.453999999999998
Montenegro,1175.3823333333337,484.1786666666667,42.083666666666666,5.100333333333335,5.386000000000001
Morocco,541.5053333333332,224.53966666666665,21.703666666666667,3.723666666666667,2.9823333333333335
Mozambique,706.8376666666667,233.71766666666662,21.078666666666663,3.7389999999999994,22.89266666666666
Myanmar,836.843666666667,324.4183333333333,36.15766666666668,8.348333333333333,14.215666666666667
Namibia,729.4156666666667,262.95233333333334,20.56133333333333,2.8369999999999993,2.365333333333333
Nauru,1319.0493333333334,407.0356666666667,51.64033333333334,5.564333333333333,11.284666666666668
Nepal,613.3253333333334,222.99133333333327,21.845999999999997,5.143333333333334,8.447666666666667
Netherlands,1610.7876666666668,409.90299999999996,31.45099999999999,3.176,3.877333333333334
New Zealand,1372.1636666666668,354.5283333333334,29.887333333333334,3.4846666666666675,4.464999999999999
Nicaragua,959.3713333333334,208.51966666666664,16.608666666666668,5.795333333333332,7.584000000000001
Niger,652.2989999999999,188.71999999999997,13.982666666666665,3.459333333333333,10.313000000000004
Nigeria,766.0403333333335,178.66366666666667,13.206333333333335,3.248333333333333,11.274333333333333
Niue,1124.7913333333333,330.0653333333333,38.227,4.324333333333333,8.195333333333332
North America (WB),1367.815333333333,372.0013333333335,28.487999999999996,3.135,3.552666666666667
North Korea,831.6653333333336,405.3593333333334,43.491,5.212333333333334,10.444666666666667
North Macedonia,1231.185,487.274,44.566,5.278333333333333,5.911999999999998
Northern Ireland,1492.6843333333334,387.752,28.839000000000002,3.665333333333334,3.473333333333333
